№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
1247,"ЦЕФЕПИМ
(Sefepim)",cefepime,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 0,5 г, 1,0 г, 2,0 г (флаконы)",Россия,"Промомед Рус, ООО произведено: Биохимик, АО",Антибиотик (гр.цефалоспоринов),J01DE01,DV/X 10100/08/22,30/08/22,,по рецепту,,
1248,"ЦЕФОПЕРАЗОН/ СУЛЬБАКТАМ
(Sefoperazone/Sulbactam)",comb.drug (cefoperazone; sulbactam),"Порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг/500 мг, 1000 мг/1000 мг N1 (флаконы)",Россия,"Промомед Рус, ООО произведено: Биохимик, АО",Антибиотик (гр.цефалоспоринов),J01DD62,DV/X 09071/06/21,15/06/21,,по рецепту,,
1249,"ЦЕФОПЕРАЗОН+ СУЛЬБАКТАМ
(Sefoperazon + Sulbaktam)",comb.drug (cefoperazone; sulbactam),Порошок для приготовления раствора для инъекций 1 г/1 г N1 (флаконы),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DD63,DV/X 08457/11/20,19/11/20,введены изменения: 19.04.25,по рецепту,,
1250,"ЦЕФОПЕРАЗОН+СУЛЬБКТАМ
(Sefoperazon+sulbaktam)",comb.drug (cefoperazone; sulbactam),Порошок для раствора для инъекций 1 г/1 г N1 (флаконы),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DD63,DV/X 08457/11/20,19/11/20,введены изменения: 19.04.25,по рецепту,,
1251,"ЦЕФОТАКСИМ - БХФЗ
(Sefotaksim - BXFZ)",cefotaxime,Порошок для раствора для инъекций по 1 г N1 (флакон),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DD01,DV/X 02727/02/17,17.02.17 13.05.22,,по рецепту,,
1252,"ЦЕФОТАКСИМ
(Cefotaximum)",cefotaxime,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г N1, N10, N50, N270 (флаконы)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибиотик (гр.цефалоспоринов),J01DD01,DV/X 02493/12/16,02.12.16 28.12.21,введены изменения: 27.12.24,по рецепту,,
1253,"ЦЕФТАЗИДИМ- АКОС
(Ceftazidimum)",ceftazidime,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г, 2 г (флаконы)",Россия,"Синтез, ПАО",Антибиотик (гр.цефалоспоринов),J01DD02,DV/X 02446/11/16,18.11.16 30.11.21,,по рецепту,,
1254,"ЦЕФТРАКТАМ
(Seftraktam)",comb.drug (cefoperazone; sulbactam),Порошок для раствора для инъекций 1000 мг/500 мг N1 (флаконы),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DD62,DV/X 08458/11/20,19/11/20,,по рецепту,,
1255,"ЦЕФТРИАКСОН + СУЛЬБАКТАМ
(Seftriakson+Sulbaktam)",comb.drug (ceftriaxone; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг + 500 мг N1 (флаконы),Грузия,"Укрфармэкспорт, ООО, Украина произведено: Абифарм, ООО",Антибиотик (гр.цефалоспоринов),J01DA13,DV/X 10503/07/23,14/07/23,,по рецепту,,
1256,"ЦЕФТРИАКСОН- БХФЗ
(Ceftriaxonum)",ceftriaxone,Порошок для раствора для инъекций 1000 мг N1 (флаконы),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 04060/02/18,20.02.18 30.11.22,,по рецепту,,
1257,"ЦЕФТРИАКСОН
(Ceftriaxon)",ceftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 0,5 г, 1,0 г N1, N50 (флаконы)",Россия,"Компания Деко, ООО",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 10444/06/23,08/06/23,,по рецепту,,
1258,"ЦЕФТРИАКСОН
(Ceftriaxonum)",ceftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г N1, N50 (флаконы)",Россия,"Биосинтез, ПАО",Антибиотик (гр.цефалоспоринов),J01DA13,DV/X 01826/06/16,07.06.16 25.05.21,,по рецепту,,
1259,"ЦЕФТРИАКСОН
(Ceftriaxonum)",ceftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г (флаконы), N1, N50",Россия,"Красфарма, ПАО",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 03847/12/17,05.12.17 21.12.22,,по рецепту,,
1260,"ЦЕФТРИАКСОН
(Ceftriaxonum)",ceftriaxone,"Порошок для раствора для инъекций 1,0 г N1, N5, N50 (флаконы); N1 флакон и N1 ампула с растворителем Лидокаин; раствор для инъекций 10 мг/мл, 3,5 мл (ампула); N1 флакон и N1 ампула с растворителем. Вода для инъекций 10 мл (ампула)",Украина,"Лекхим-Харьков, ЧАО",Антибиотик (гр.цефалоспоринов),J01DA13,DV/X 01572/04/16,16.04.16 23.04.21,введены изменения: 13.05.24,по рецепту,,
1261,"ЦЕФТРИАКСОН
(Ceftriaxonum)",ceftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г N1, N5, N10 (флаконы), N50 (флаконы для стационаров)",Россия,"Промомед Рус, ООО произведено: Биохимик, АО",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 04028/02/18,20.02.18 13.05.24,,по рецепту,,
1262,"ЦЕФТРИАКСОН
(Ceftriaxonum)",ceftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г N1 (флакон), N50 (флаконы)",Россия,"Синтез, ПАО",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 05102/09/18,21.09.18 31.05.24,введены изменения: 20.12.24,по рецепту,,
1263,"ЦЕФТРИАКСОН
(Seftriakson)",сeftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г №1, №10 (флаконы)",Беларусь,"Борисовский завод медицинских препаратов, Открытое aкционерное oбщество",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Другие бета-лактамные антибактериальные препараты. Цефалоспорины третьего поколения. Цефтриаксон.,J01DD04,DV/X 07224/12/19,13.12.19 30.09.25,,по рецепту,,
1264,"ЦЕФТРИАКСОН+ СУЛЬБАКТАМ
(Seftriakson + Sulbaktam)",comb.drug (ceftriaxone; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг/500 мг N1 (флаконы),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DD62,DV/X 08458/11/20,19/11/20,введены изменения: 19.04.25,по рецепту,,
1265,"Цефтриаксона натриевая соль
(Seftriakson natriyli tuzi)",ceftriaxone,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг, 1000 мг №1 (флаконы)",Беларусь,"Белмедпрепараты, РУП",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Другие бета-лактамные антибактериальные препараты. Цефалоспорины третьего поколения. Цефтриаксон.,J01DD04,DV/X 06139/05/19,06.05.19 13.08.25,,по рецепту,,
1266,"ЦЕФУРОКСИ-SANTO
(Sefuroksi - SANTO)",cefuroxime,"Порошок для приготовления раствора для инъекций 750 мг, 1500 мг N1 (флаконы)",Казахстан,"Химфарм, АО",Антибиотик (гр.цефалоспоринов),J01DC02,DV/X 09295/09/21,10/09/21,,по рецепту,,
1267,"ЦЕФУРОКСИМ
(Cefuroximum)",cefuroxime,"Порошок для раствора для инъекций 0,75 г N1, N5, N50 (флаконы), N1 (флаконы в комплекте с растворителем вода для инъекций 10 мл) (ампулы)",Украина,"Лекхим-Харьков, ЧАО",Антибиотик (гр.цефалоспоринов),J01DC02,DV/X 08569/02/21,02/02/21,,по рецепту,,
