№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
3211,"ТАБОНИЛ®
(Tabonil)",oxiracetam,Капсулы 400 мг N24 (флаконы),Китай,"Zhensen International Pharmaceutical Co., Ltd, Китай произведено: CSPC Ouyi Pharmaceutical Co., Ltd",Ноотропное средство,N06BX07,DV/X 09732/03/22,29/03/22,,по рецепту,,,
3913,"ЭКСАН® INJECT
(Eksan® Inject)",magnesium isoglycyrrhizinate,Раствор для инъекций 50 мг 10 мл N2 (cтеклянные ампулы),Китай,"Zhensen International Pharmaceutical Co., Ltd., Гонконг, Chia Tai Tianqing Pharmaceutical Group Co., Ltd., Китай","Препараты для лечения заболеваний печени и желчевыводящих путей. Препараты для лечения заболеваний печени, липотропные средства. Препараты для лечения заболеваний печени",А05ВА,DV/X 10951/05/25,30/05/25,,По рецепту,,,
3546,"ФЕМИСТРОН®
(Femistron)",conjugated estrogens,"Таблетки, покрытые пленочной оболочкой N28 (2х14) (упаковки контурные-ячейковые)",Китай,"Zhensen International Pharmaceutical Co., Ltd., Гонконг произведено: Xinjiang Nuziline Bio-Pharmaceutical Co., Ltd",Эстроген,G03CA,DV/X 10202/10/22,28/10/22,,по рецепту,,,
414,"АНТРИТЕНС®
(Antritens)",parecoxib,Лиофилизат для приготовления раствора для внутривенного и внутримышечного введения 40 мг N1 (флаконы),Китай,"Zhensen International Pharmaceutical Co., Ltd., Гонконг произведено: Yangtze River Pharmaceutical Group Guangzhou Hairui Pharmaceutical Co., Ltd",Нестероидное противовоспалительное средство,M01AH04,DV/X 10201/10/22,28/10/22,,по рецепту,,,
861,"ГВИЛОТ®
(Gvilot)",fibriuretinin,Таблетки диспергируемые 100 мг N24 (2х12) (упаковки контурные-ячейковые),Китай,"Zhensen International Pharmaceutical Co., Ltd., Гонконг произведено: Yunnan Phytopharmaceutical Co., Ltd",Противовоспалительное средство,V03AX,DV/X 10164/10/22,14/10/22,,по рецепту,,,
815,"ВОЛЬФУРАН®
(VOLFURAN®)",nifuratel,"Таблетки, покрытые оболочкой 0,2 г №14 (1x14) (блистеры)",Китай,"Zhensen International Pharmaceutical Co., Ltd., Гонконг, произведено: Nanjing Lifecare Pharmaceutical Co. Ltd","Противомикробные препараты и антисептики, кроме комбинаций с кортикостероидами. Другие противомикробные препараты и антисептики. Нифурател.",G01AX05,DV/X 06588/07/19,23.07.19 15.10.25,,по рецепту,,,
2472,"ОЗОБАК 1.5
(Ozobak 1.5)",comb.drug (ceftriaxone; sulbactam),"Порошок для приготовления раствора для инъекций 1,0 г + 0,5 г N1 (флаконы)",Индия,"Zieva Farm Pvt Ltd, Индия произведено Om Biomedic Pvt Ltd",Антибиотик (гр.цефалоспорины),J01DD54,DV/X 10579/12/23,27/12/23,,по рецепту,,,
3184,"СУЛАМПИН
(Sulampin)",comb.drug (ampicillin; sulbactam),"Порошок для приготовления раствора для инъекций 1,0 г + 0,5 г (флаконы)",Индия,"Zieva Farm Pvt. Ltd, Индия произведено Om Biomedic Pvt. Ltd.",Антибиотик (гр.пенициллинов),J01CR01,DV/X 10580/12/23,27/12/23,,по рецепту,,,
591,"БИСНОВА
(Bisnova)",comb.drug (iron bisgluconate; beta carotine; vitamin D3; vitamin B3; vitamin B6; vitamin B12; folic acid; selenium; L-lysine; L-histidine; D-panthenol),Сироп 150 мл (флаконы с мерным стаканчиком),Индия,"Zieva Farm Pvt. Ltd, Индия произведено: Enicar Pharmaceutical Pvt. Ltd",Антианемическое средство,A11AA04,DV/X 09676/03/22,04/03/22,,без рецепта,,,
3791,"ЦЕФЗИКИТ
(SefziKit)",comb.drug (fluconazole; azithromycin; secnidazole),"Таблеток набор (флуконазола таблетка 150 мг N1, азитромицина таблетка, покрытая пленочной оболочкой 1 г N1, секнидазола таблетка, покрытая пленочной оболочкой 1 г N2, N4 (1x4) (блистеры))",Индия,"Zieva Farm Pvt., Ltd, Индия произведено: Coral Laboratories Ltd",Противомикробное средство,J01RA07,DV/X 09697/03/22,04/03/22,введены изменения: 19.07.24,по рецепту,,,
1741,"ЛАЗАФЕР
(Lazafer)",ferric (III) hydroxide sucrose complex*,Раствор для инъекций 100 мг/5 мл 5 мл N5 (1х5) (ампулы),Индия,"Zieva Farm Pvt., Ltd., Индия произведено: Sanjivani Paranteral Limited",Антианемическое средство. Препарат железа для парентерального применения,B03AC02,DV/X 10635/05/24,24/05/24,,по рецепту,,,
2304,"НЕКСАОВ
(Neksaov)",tranexamic acid,"Раствор для инъекций 100 мг/мл, 5 мл N5 (ампулы)",Индия,"Zieva Farm, Индия произведено: Sakar Healthcare Ltd",Гемостатическое средство,B02AA02,DV/X 08751/03/21,19/03/21,,по рецепту,,,
3740,"ХОСИНОВ
(Xosinov)",oxytocin,Раствор для инъекций 10 ME/мл N5 (ампулы),Индия,"Zieva Farm, Индия произведено: Sakar Healthcare Pvt. Ltd","Средство, усиливающее сокращение миометрия",H01BB02,DV/X 09120/07/21,16/07/21,,по рецепту,,,
2493,"ОЛОДИН
(Olodin)",olopatadine,"Капли глазные 0,1% 5 мл (флаконы с крышкой-пипеткой)",Индия,"Zieva Fharm Pvt., Ltd., Индия произведено: FDC Limited",Антиаллергическое средство,S01GX09,DV/X 10063/08/22,16/08/22,,по рецепту,,,
2894,"РОЗДЕЙ 10, РОЗДЕЙ 20
(Rozdey 10, Rozdey 20)",rosuvastatin*,"Таблетки, покрытые пленочной оболочкой 10 мг, 20 мг N30 (3х10) (блистеры)",Индия,Zim Laboratories Limited,Гиполипидемическое средство,C10AA07,DV/X 01484/03/16,18.03.16 16.07.21,,по рецепту,,,
1804,"ЛЕВОТЕКС
(Levoteks)",levofloxacin,Раствор для инфузий 500 мг/100 мл N1 (флакон),Индия,"Zommer Pharma Rus LLC, Россия произведено: Alice Medicare Pvt. Ltd",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA12,DV/X 08557/02/21,02/02/21,,по рецепту,,,
3879,"ЦОМЕФЛЕКС
(Somefleks)",tenoxicam,Порошок лиофилизированный для приготовления раствора для инъекций 20 мг N3 (флаконы) в комплекте с растворителем - вода для инъекций 2 мл N3 (ампулы),Индия,"Zommer Pharma Rus, LLC, Россия произведено: Gufic Biosciences Ltd.",Нестероидное противовоспалительное средство,M01AC02,DV/X 10005/07/22,19/07/22,,по рецепту,,,
2296,"НЕЙРОКСИДОЛ-ЦОММЕР
(Neyroksidol-Sommer)",ethylmethylhydroxypyridine succinate,Раствор для инъекций 250 мг/5 мл 5 мл N5 (ампулы),Индия,"Zommer Pharma Rus, LLC, Россия произведено: Samrudh Pharmaceuticals Pvt. Ltd",Антиоксидантное средство,N07XX,DV/X 09736/03/22,29/03/22,,по рецепту,,,
3878,"ЦОМЕФЕР
(SOMEFER)",iron (III) hydroxide sucrose complex*,Раствор для инъекций 20 мг/мл 5 мл №5 (ампулы),Индия,"Zommer Pharma Rus,LLC, Россия произведено: Samrudh Pharmaceuticals Pvt. Ltd",Кровь и система кроветворения. Антианемические препараты. Препараты железа. Парентеральные препараты трехвалентного железа,B03AC,DV/X 07686/03/20,31.03.20 28.11.25,,по рецепту,,,
1072,"ДЖИЭМФИТ
(DJIEMFIT)",comb.drug (glucosamine sulfate; methylsulfonylmethane; taurine; racemethionine),"Таблетки, покрытые пленочной оболочкой N30 (3x10) (блистеры)",Индия,Zota Healthcare Ltd,Стимулятор трофики тканей и регенерации,M09AX,DV/X 08916/04/21,23/04/21,,без рецепта,,,
1283,"ЗОТАЛАН 30
(Zotalan 30)",lansoprazole,"Капсулы с замедленным высвобождением 30 мг N10 (1х10), N30 (3х10) (блистеры)",Индия,Zota Healthcare Ltd,Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC03,DV/X 09271/08/21,18/08/21,,по рецепту,,,
1287,"ЗОФЕН-П
(Zofen-P)",comb.drug (aceclofenac; paracetamol),Таблетки N30 (3х10) (блистеры),Индия,Zota Healthcare Ltd,Анальгетик-антипиретик,N02BE51,DV/X 09169/07/21,16/07/21,,по рецепту,,,
1579,"КЛАРИЗЕД-500
(Klarized-500)",clarithromycin,"Таблетки, покрытые пленочной оболочкой 500 мг N10 (1х10) (блистеры)",Индия,Zota Healthcare Ltd,Антибиотик (гр.макролидов),J01FA09,DV/X 09270/08/21,18/08/21,,по рецепту,,,
1953,"ЛОСАРЗЕД-50; 100
(Losarzed-50; 100)",losartan potassium,"Таблетки, покрытые пленочной оболочкой 50 мг, 100 мг N30 (3х10) (блистеры)",Индия,Zota Healthcare Ltd,Антигипертензивное средство (антагонист рецепторов ангиотензина II),C09CA01,DV/X 08669/03/21,01/03/21,,по рецепту,,,
1954,"ЛОСАРЗЕД-Н
(Losarzed-H)",comb.drug (losartan potassium; hydrochlorothiazide),"Таблетки, покрытые пленочной оболочкой 50 мг/12,5 мг N30 (3х10) (блистеры)",Индия,Zota Healthcare Ltd,Антигипертензивное средство,C09DA01,DV/X 08668/03/21,01/03/21,,по рецепту,,,
2218,"МОНТИЗЕД-Л
(Montized-L)",comb.drug (montelukast; levocetirizine),"Таблетки, покрытые пленочной оболочкой 10 мг+5 мг N30 (упаковки контурные-ячейковые)",Индия,Zota Healthcare Ltd,Бронхолитическое средство,R03DC53,DV/X 08917/04/21,23/04/21,,по рецепту,,,
2942,"РТФИТ
(Rtfit)",comb.drug (taurine; racemethionine),Капсулы N30 (3x10) (блистеры),Индия,Zota Healthcare Ltd,Аминокислоты,A16AA,DV/X 03573/09/17,22.09.17 21.12.22,,по рецепту,,,
3037,"СИДИТЕЛ-40, СИДИТЕЛ-80
(Siditel-40, Siditel-80)",telmisartan,"Таблетки 40 мг, 80 мг N30 (3х10) (упаковки контурные ячейковые)",Индия,Zota Healthcare Ltd,Антигипертензивное средство (антагонист рецепторов ангиотензина II),C09DA07,DV/X 08526/01/21,08/01/21,,по рецепту,,,
3038,"СИДИТЕЛ-Н (40+12.5), СИДИТЕЛ-Н (80+12.5)
(Siditel-H (40+12.5), Siditel-H (80+12.5))",comb.drug (telmisartan; hydrochlorothiazide),"Таблетки 40 мг/12,5 мг, 80 мг/ 12,5 мг N30 (3х10) (упаковки контурно ячейковые)",Индия,Zota Healthcare Ltd,Антигипертензивное средство,C09DA07,DV/X 09118/07/21,16/07/21,,по рецепту,,,
957,"ГОДЕКС
(Godeks)",comb.drug (carnitine orotate; liver extract antitoxic fraction; pyridoxine hydrochloride; cyanocobalamin; adenine hydrochloride; riboflavin; biphenyl dimethyl dicarboxylate),Капсулы N50 (5х10) (упаковки контурные-ячейковые),Корея,"Абди Ибрахим Глобал Фарм, ТОО., Казахстан произведено: Celltrion Pharm. Inc., Корея; упаковщик: Абди Ибрахим Глобал Фарм, ТОО., Казахстан",Гепатопротектор,A05BA,DV/X 09039/06/21,15/06/21,,по рецепту,,,
