№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
2681,"ЦЕФФЕКТ
(Seffekt)",comb.drug (ceftriaxone; sulbactam),"Порошок для приготовления инъекционного раствора 1,5 г (1,0 г + 0,5 г) N1, N10 (флаконы)",Узбекистан,"ATM Sanita Pharma, ИП ООО",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Бета-лактамный антибактериальный препарат.Цефалоспорин третьего поколения,J01DD54,DV/M 04775/01/25,31/01/25,,по рецепту
2682,"ЦЕФ-ФОД ЖИ
(Sef-Fod Ji)",cefixime,"Капсулы 400 мг N10 (1х10), N20 (2х10), N50 (10х5), N100 (10х10) (блистеры)",Узбекистан,"Jayxun Invest, ООО",Антибиотик (гр.цефалоспоринов),J01DD08,DV/M 03963/11/21,05/11/21,,по рецепту
2683,"ЦЕФ-ФОД ЖИ
(Sef-Fod JI)",cefixime,Порошок для приготовления суспензии для приема внутрь 100 мг/5 мл; 200 мг/5 мл 30 мл (флаконы),Узбекистан,"Jayxun Invest, ООО",Антибиотик (гр.цефалоспоринов),J01DD08,DV/M 04034/02/22,14/02/22,введены изменения: 17.01.25,по рецепту
2684,"ЦЕФ-ФОД ЖИ
(Sef-Fod Ji)",cefixime,"Таблетки, покрытые пленочной оболочкой 200 мг N10 (1х10), N20 (2х10), N30 (3х10) (блистеры)",Узбекистан,"Jayxun Invest, ООО",Антибиотик (гр.цефалоспоринов),J01DD08,DV/M 03964/11/21,05/11/21,,по рецепту
2685,"ЦИАЗИТ
(Siazit)",azithromycin,"Капсулы 250 мг N6 (1х6), 500 мг N3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"Aviceo Group, СП ООО для Citco Chemicals Ltd, Англия",Антибиотик (гр.макролидов),J01FA10,DV/M 04482/06/23,22/06/23,введены изменения: 29.03.24,по рецепту
2686,"ЦИАНОКОБАЛАМИН (ВИТАМИН В 12)
(Sianokobalamin)",cyanocobalamin,"Раствор для инъекций 500 мкг/ мл 1 мл N5, N5 (1x5), N10, N10 (2x5; 1x10), N25 (5х5) (ампулы)",Узбекистан,"Radiks, OOO",Витамин,B03BA01,DV/M 02042/03/18,23.03.18 08.06.23,,по рецепту
2687,"ЦИАНОКОБАЛАМИН (ВИТАМИН В12)
(Sianokobalamin (Vitamin B12))",cyanocobalamin,"Раствор для инъекций 500 мкг/мл 1 мл N5, N5 (1x5), N10, N10 (2x5; 1x10), N25 (5х5) (ампулы)",Узбекистан,"Radiks, OOO",Витамин,B03BA01,DV/M 02226/08/18,06.08.18 14.07.23,,по рецепту
2688,"ЦИКЛОВИР ЖИ
(Siklovir ji)",aciclovir,"Таблетки 200 мг, N10, N10 (1х10), N20 (2x10) (упаковки контурные ячейковые)",Узбекистан,"Jayxun Invest, ООО",Противовирусное средство,J05AB01,DV/M 04581/08/23,28/08/23,,по рецепту
2689,"ЦИКЛОФЕРУММЕР®
(Sikloferummer®)",meglumine,Раствор для инъекций 250 мг/2 мл 2 мл N5 (1x5) (ампулы),Узбекистан,"Merrymed Farm, ООО",Иммуностимулятор. Другой иммуностимулятор,L03AX,DV/M 02336/11/18,02.11.18 31.01.25,,по рецепту
2690,"ЦИКОЛ
(Sikol)",citicoline,"Раствор для инъекций 500 мг/2 мл, 1000 мг/4 мл, 2 мл, 4 мл N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Ноотропное средство,N06BX06,DV/M 04409/05/23,05/05/23,,по рецепту
2691,"ЦИНАЗИН® ЦИНАЗИН® ФОРТЕ
(Sinazin Sinazin Fоrtе)",cinnarizine,Таблетки 25 мг N50 (2х25) (упаковки контурные ячейковые); 75 мг N20 (1х20) (упаковки контурные ячейковые),Узбекистан,"Nobel Pharmsanoat, ИП ООО",Средство для лечения нарушений мозгового кровообращения и мигрени,N07CA02,DV/М 00817/05/16,20.05.16 16.07.21,,по рецепту
2692,"ЦИНАЛ
(Sinal)",pyracin*,"Раствор для инъекций 0,25% 1 мл N5, N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Витамины и минералы,A11JB,DV/M 04539/08/23,11/08/23,,по рецепту
2693,"ЦИНАРОН БИО
(Sinaron bio)",cynara scolymus*,"Капсулы N5, N10, N20 (2х10), N30 (3х10), N30 (6х5), N60 (6х10) (упаковки контурные ячейковые)",Узбекистан,"O'zkimyofarm, AO им. С.К. Исламбекова",Желчегонное средство,A05AX,DV/M 03749/03/21,01/03/21,,по рецепту
2694,"ЦИНАРОН
(Sinaron)",cinarae scomuli*,Капсулы 400 мг N10 (1х10); N20 (2х10); N30 (3х10) (упаковки контурные ячейковые),Узбекистан,"Remedy Group, СП ООО",Желчегонное средство,A05AX,DV/М 01214/12/16,20.12.16 23.12.21,,по рецепту
2695,"ЦИНКОВАЯ МАЗЬ
(Rux surtmasi)",zinc oxide*,Мазь 30 г (тубы),Узбекистан,"Radiks, OOO","Препарат, применяемый в дермотологии. Препарат со смягчающим и защитным действием. Препарат цинка",D02АВ,DV/M 02602/06/19,14.06.19 15.02.25,,без рецепта
2696,"ЦИНКОВАЯ МАЗЬ
(Unguentum Zinci)",zinc oxide*,Мазь для наружного применения 10% 20 г (тубы),Узбекистан,"Jurabek Laboratories, СП ООО",Дерматопротекторное средство,D02AB,DV/M 04144/06/22,16/06/22,,без рецепта
2697,"ЦИНКОВАЯ МАЗЬ
(Unguentum Zinci)",zinc oxide*,"Мазь 20 г, 25 г, 30 г (тубы)",Узбекистан,"Ziyo Nur Farm, ЧП",Дерматопротекторное средство,D02AB,DV/M 04138/06/22,16/06/22,,без рецепта
2698,"ЦИНКОПЕРОЛ
(Sinkoperol)",pyracin*,"Раствор для инъекций 0,25% 1 мл N5, N5 (1х5); N10 (2х5) (ампулы)",Узбекистан,"Remedy Group, СП ООО для Zeus Pharma Ltd, Великобритания",Минеральный препарат,,DV/M 00764/04/16,15.04.16 23.12.21,введены изменения: 10.02.23,по рецепту
2699,"ЦИННАРИЗИН
(Sinnarizin)",cinnarizine,"Таблетки 25 мг N10 упаковки контурные безъячейковые); N10, N20 (2х10), N30 (3х10), N50 (5x10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO",Средство для лечения нарушений периферического кровообращения,N07CA02,DV/M 01250/12/16,20.12.16 14.02.22,,по рецепту
2700,"ЦИННАРИЗИН
(Sinnarizin)",cinnarizine,"Таблетки 25 мг N10, N10 (1x10), N20 (2x10), N30 (3x10), N40 (4x10), N50 (5x10), N100 (10x10) (упаковки контурные ячейковые)",Узбекистан,"Remedy, СП ООО, Узбекско-Британское",Средство для лечения нарушений мозгового кровообращения и мигрени,N07CA02,DV/M 00958/08/16,05.08.16 11.10.21,,по рецепту
2701,"ЦИНОФЛОКС
(Sinofloks)",levofloxacin,"Раствор для инфузий 500 мг/100 мл 100 мл (флаконы стеклянные, флаконы полиэтиленовые)",Узбекистан,"Remedy Group, СП ООО",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Антибактериальные препараты производные хинолона. Фторхинолоны.Левофлоксацин,J01MA12,DV/M 05164/09/25,19.09.25,,по рецепту
2702,"ЦИПРАКСОЛ ОФТАЛЬМО
(Sipraksol Oftalmo)",ciprofloxacin,"Капли глазные 0,3% 5 мл (флакон-капельницы)",Узбекистан,"Jurabek Laboratories, СП ООО",Oрганы чувств. Офтальмологический и отологический препарат. Противоинфекционный препарат,S03AA07,DV/M 02793/10/19,10.10.19 15.03.25,,по рецепту
2703,"ЦИПРАКСОЛ
(Cipraxol)",ciprofloxacin,"Концентрат для приготовления инфузионного раствора 100 мг/10 мл N5 (1х5), N10 (2х5) (стеклянные ампулы) N10, N20, N30, N40, N50 (полипропиленовые или полиэтиленовые ампулы)",Узбекистан,"Jurabek Laboratories, СП ООО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA02,DV/М 00580/01/16,15.01.16 21.01.21,,по рецепту
2704,"ЦИПРАКСОЛ
(Sipraksol)",ciprofloxacine,"Раствор для инфузий 0,2% 100 мл (флаконы)",Узбекистан,"Jurabek Laboratories, СП ООО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01МА02,DV/M 02208/07/18,24.07.18 12.03.24,,по рецепту
2705,"ЦИПРИЛОКС
(Sipriloks)",ciprofloxacin,"Раствор для инфузий 0,2% 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Фторхинолон,J01MA02,DV/M 04935/04/25,30/04/25,,по рецепту
2706,"ЦИПРО SD
(Cipro SD)",ciprofloxacin,"Таблетки, покрытые оболочкой 250 мг, 500 мг N10, N10 (1х10), N20 (2х10), N30 (3х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Sharq Darmon, OOO",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA02,DV/M 00592/01/16,15.01.16 12.02.21,,по рецепту
2707,"ЦИПРОКСИМ
(Siproksim)",ciprofloxacin,"Раствор для инфузий 2 мг/мл 100 мл (флаконы, бутылки)",Узбекистан,"Samarkand England Eco-Medical, СП ООО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA02,DV/M 01727/08/17,04.08.17 30.08.22,,по рецепту
2708,"ЦИПРОМЕР
(Sipromer)",ciprofloxacin,"Капли глазные 3 мг/мл 5 мл N1, N50, N100 (флакон-капельницы)",Узбекистан,"Merrymed Farm, OOO","Препарат, применяемый в офтальмологии. Противомикробный препарат. Фторхинолон. Ципрофлоксацин",S01AE03,DV/M 02557/05/19,24.05.19 19.04.25,введены изменения: 16.06.25,по рецепту
